,title,cluster
0,"timestamp 
 opening
 disclaimer 
 iklan kopi kapal api
 speaker oontz
 speaker vyatta platinum hitz
 speaker vivan audio vs waterproof
 speaker mitsuyama
 speaker simbada
 speaker robot rb
 speaker robot rb
 speaker kisonli g
 speaker eggle
 speaker mkc kimiso
 speaker acome a
 speaker acome a
 speaker acome a
 speaker jbl go 
 speaker yoayo
 speaker zealot
 speaker saku mini
 speaker ecle t
 speaker ecle holder
 waktunya minum kopi
 kesimpulan
 closing",0
1,team speaker eggel sudah punya yang eggel fit seri pertama dari tahun  sampai saat ini baterai masih awet suara bass masih ok full volume juga ngga pecah sama sekali as expected perusahaan speaker yang dibuat oleh lulusan itb,0
2,"wah kebetulan lagi nyari speaker bluetooth yang murah tapi lumayan enak separasi audionya lanjutkan koh david  
seru banget nge test speaker nya ikut senang liat koh david senang wkwkwk
setelah kepilih yg terbaik barangnya auto langka + mahal ",0
3,masih qcy box  tetap di hati gua punya speaker qcy udah  tahun sampai sekarang masih awet suaranya dan build quality build quality nya di kuat karena % di lapisin karet jadi tahan banting dan air jadi tetap aman meskipun ke banting di ketinggian  meter dulu gua beli cuman  sekarang udah ga di jual di pasaran lagi  tapi kalau mau lihat bentukan nya di google tetap masih ada,0
4,this is where local industries start rising prouder than proud! #eggel,0
5,appreciate bangbener manfaat banget utk mmberi guidance bagi yg mau beli speaker yg skrng sdh buanyak di marketplace sekedar saran bang akan sangat fair klw semua speaker itu ditest dg lagu yg sama persis sampe timecode dr detik keberapa sampe ke berapa jg disamain  dan tentunya sdh dipilih lagu yg pas utk mewakili evaluasi bass treble dan vokalnya thanks,0
6,"yg bagus di mata dapid
speaker oontz (  ) k
speaker vivan (  ) k
speaker robot (  ) k
speaker kisonli (  ) k
speaker eagle (  ) k
speaker acome (  ) k
speaker acome (  ) k
speaker  yoayo (  ) k
kesimpulan untuk lebih jelasnya (  )
*thanks ^ _ ^",0
7,saya dah pakai eggel fit  langsung beli  pcs supaya bisa dengar stereo yg lebih mantap & luas pakai fitur tws nya bener ga mengecewakan suaranya patut diapresiasi produk lokal tpi kualitasnya melebihi ekspektasi,-1
8, tahun pake rb dibanting kena air kena panas sampe sw rusak sebelah tapi masih mantap bangetkebetulan dengerin video ini pake speaker tersebut entry level robot lumayan diperhitungkan sih,-1
9,semoga dengan adanya review ini perusahaan elektronik gini makin melek sma kualitas mereka karna yg kita tau kita beli tu ya paling gajauh dari nama brandnya,0
10,masih setia sama anker soundcore select walau midbassnya ngak wah tapi subbass vokal dan detailnya saya suka banget tapi ngelihat video ini jadi kegoda sama eggel fit  murah lagi,0
11,yang saya suka dr video gadgetin tanpa ragu nyebutin harga produk saat unboxing  beda dengan kebanyakan channel sebelah ragu dan seperti diprivasi nyebutin harga kan bangke jdnya,0
12,"batre removable di speaker mitsuyama fitur underrated yang harusnya lumayan penting menurut gw
di rumah ada  bluetooth speaker jadi bangkai gara batrenya soak  lagi port chargernya rada jadi dianggap setengah rusak mungkin juga karena  itu merek 'biasa' 
yang jbl go masih oke udah tahunan lebih",-1
13,"aku lebih suka sm gmc a 
soalnya harganya terjangkau kisaran rebuandah gitu spesifikasinya diatas rata dri harga anoutputnya itu loh w so pastiemezing 
pilihan lain ada vivan vs  vstecnix  spk bgmc c",-1
14,akhirnya review eggel emang keren si brand lokal ini punya terra  mini udh waterproof ip tws rgb play tame cukup lama suara ngebass ga nyesel beli produk eggel,0
15,"setelah sebulanan stok bluetooth speaker eggel habis di tokped akhirnya stoknya udah ready dan hari ini kesampaian beli
makasih bang david udah direview aku juga punya yg versi tws nya kalo soal kualitas produk lokal mah eggel gak ada tandingannya ",0
16,tolong buat konten gini lagi bang  bang david kalo buat konten nyoba barang emg paling the best sih ,-1
17,cuma dapit yang bisa bikin video review  menit tapi gak bosen wkwkw keep up the good work bro,-1
18,gue punya eggel active  pro ga nyesel belinya kualitas suara bagus banget bassnya ngisi anti air juga,0
19,makasih bang iqbal dan bang kevin akhirnya aku bisa milih speaker bluetooth yang sesuai budget tanpa harus di beli dan coba semua yang harganya sesuai budget aku makasih juga bang david udah ngereview btw di menit  suara bang david kok berubah jadi laki banget wkwk,0
20,gw pake eggel elite gen pertama yg bodynya kokoh sekali bisa di pake buat nimpuk maling wkwkw dan pastinya anti air dulu beli sekitar rban kalo gasalah suara mantap ada bass mode battre awet bisa di pake semaleman ampe subuh dengan vol full kalo vol % dipake sehari  jam bisa tahan sekitar  harian product lokal gada dua si ini puas pokoknya,-1
21,sampe di ulang berkali kali pas bang david dengerin suara dari bass nya bose jadi pengen tapi ga mampu beli dengan harga segitu hhe,-1
22,"dulu beli bt speaker oontz angle  (bukan yang solo) gara video bang david juga alhamdulillah dari  saya lupa tepatnya masih awet sampe sekarang suara yang dihasilin juga udah cukup bgt menurut telinga saya cocok banget buat nonton film sama dengerin musik sering dibawa juga buat nemenin cuci motor sama mobil karena dia udah water resistant jadi gaperlu takut kena air wkwk enaknya ada aux jadi kalo buat setup tinggal colok penggunaan saya seminggu lebih baru abis batrenya

dulu beli di harga rb berasa upgrade banget dari logitech z berapa ya lupa wkwk",0
