,title,cluster
0,"timestamp 
 opening
 disclaimer 
 iklan kopi kapal api
 speaker oontz
 speaker vyatta platinum hitz
 speaker vivan audio vs waterproof
 speaker mitsuyama
 speaker simbada
 speaker robot rb
 speaker robot rb
 speaker kisonli g
 speaker eggle
 speaker mkc kimiso
 speaker acome a
 speaker acome a
 speaker acome a
 speaker jbl go 
 speaker yoayo
 speaker zealot
 speaker saku mini
 speaker ecle t
 speaker ecle holder
 waktunya minum kopi
 kesimpulan
 closing",11
1,team speaker eggel sudah punya yang eggel fit seri pertama dari tahun  sampai saat ini baterai masih awet suara bass masih ok full volume juga ngga pecah sama sekali as expected perusahaan speaker yang dibuat oleh lulusan itb,29
2,"wah kebetulan lagi nyari speaker bluetooth yang murah tapi lumayan enak separasi audionya lanjutkan koh david  
seru banget nge test speaker nya ikut senang liat koh david senang wkwkwk
setelah kepilih yg terbaik barangnya auto langka + mahal ",36
3,masih qcy box  tetap di hati gua punya speaker qcy udah  tahun sampai sekarang masih awet suaranya dan build quality build quality nya di kuat karena % di lapisin karet jadi tahan banting dan air jadi tetap aman meskipun ke banting di ketinggian  meter dulu gua beli cuman  sekarang udah ga di jual di pasaran lagi  tapi kalau mau lihat bentukan nya di google tetap masih ada,29
4,this is where local industries start rising prouder than proud! #eggel,0
5,appreciate bangbener manfaat banget utk mmberi guidance bagi yg mau beli speaker yg skrng sdh buanyak di marketplace sekedar saran bang akan sangat fair klw semua speaker itu ditest dg lagu yg sama persis sampe timecode dr detik keberapa sampe ke berapa jg disamain  dan tentunya sdh dipilih lagu yg pas utk mewakili evaluasi bass treble dan vokalnya thanks,2
6,"yg bagus di mata dapid
speaker oontz (  ) k
speaker vivan (  ) k
speaker robot (  ) k
speaker kisonli (  ) k
speaker eagle (  ) k
speaker acome (  ) k
speaker acome (  ) k
speaker  yoayo (  ) k
kesimpulan untuk lebih jelasnya (  )
*thanks ^ _ ^",11
7,saya dah pakai eggel fit  langsung beli  pcs supaya bisa dengar stereo yg lebih mantap & luas pakai fitur tws nya bener ga mengecewakan suaranya patut diapresiasi produk lokal tpi kualitasnya melebihi ekspektasi,2
8, tahun pake rb dibanting kena air kena panas sampe sw rusak sebelah tapi masih mantap bangetkebetulan dengerin video ini pake speaker tersebut entry level robot lumayan diperhitungkan sih,6
9,semoga dengan adanya review ini perusahaan elektronik gini makin melek sma kualitas mereka karna yg kita tau kita beli tu ya paling gajauh dari nama brandnya,0
10,masih setia sama anker soundcore select walau midbassnya ngak wah tapi subbass vokal dan detailnya saya suka banget tapi ngelihat video ini jadi kegoda sama eggel fit  murah lagi,4
11,yang saya suka dr video gadgetin tanpa ragu nyebutin harga produk saat unboxing  beda dengan kebanyakan channel sebelah ragu dan seperti diprivasi nyebutin harga kan bangke jdnya,0
12,"batre removable di speaker mitsuyama fitur underrated yang harusnya lumayan penting menurut gw
di rumah ada  bluetooth speaker jadi bangkai gara batrenya soak  lagi port chargernya rada jadi dianggap setengah rusak mungkin juga karena  itu merek 'biasa' 
yang jbl go masih oke udah tahunan lebih",3
13,"aku lebih suka sm gmc a 
soalnya harganya terjangkau kisaran rebuandah gitu spesifikasinya diatas rata dri harga anoutputnya itu loh w so pastiemezing 
pilihan lain ada vivan vs  vstecnix  spk bgmc c",2
14,akhirnya review eggel emang keren si brand lokal ini punya terra  mini udh waterproof ip tws rgb play tame cukup lama suara ngebass ga nyesel beli produk eggel,4
15,"setelah sebulanan stok bluetooth speaker eggel habis di tokped akhirnya stoknya udah ready dan hari ini kesampaian beli
makasih bang david udah direview aku juga punya yg versi tws nya kalo soal kualitas produk lokal mah eggel gak ada tandingannya ",4
16,tolong buat konten gini lagi bang  bang david kalo buat konten nyoba barang emg paling the best sih ,25
17,cuma dapit yang bisa bikin video review  menit tapi gak bosen wkwkw keep up the good work bro,0
18,gue punya eggel active  pro ga nyesel belinya kualitas suara bagus banget bassnya ngisi anti air juga,4
19,makasih bang iqbal dan bang kevin akhirnya aku bisa milih speaker bluetooth yang sesuai budget tanpa harus di beli dan coba semua yang harganya sesuai budget aku makasih juga bang david udah ngereview btw di menit  suara bang david kok berubah jadi laki banget wkwk,36
20,gw pake eggel elite gen pertama yg bodynya kokoh sekali bisa di pake buat nimpuk maling wkwkw dan pastinya anti air dulu beli sekitar rban kalo gasalah suara mantap ada bass mode battre awet bisa di pake semaleman ampe subuh dengan vol full kalo vol % dipake sehari  jam bisa tahan sekitar  harian product lokal gada dua si ini puas pokoknya,6
21,sampe di ulang berkali kali pas bang david dengerin suara dari bass nya bose jadi pengen tapi ga mampu beli dengan harga segitu hhe,2
22,"dulu beli bt speaker oontz angle  (bukan yang solo) gara video bang david juga alhamdulillah dari  saya lupa tepatnya masih awet sampe sekarang suara yang dihasilin juga udah cukup bgt menurut telinga saya cocok banget buat nonton film sama dengerin musik sering dibawa juga buat nemenin cuci motor sama mobil karena dia udah water resistant jadi gaperlu takut kena air wkwk enaknya ada aux jadi kalo buat setup tinggal colok penggunaan saya seminggu lebih baru abis batrenya

dulu beli di harga rb berasa upgrade banget dari logitech z berapa ya lupa wkwk",3
23,"begitu nyalain bose soundlink revolve+ ii semua yg udah di review auto tewas  emang harga & merk ga boong ya bang one of indonesian audiophile expert pernah bilang di kontennya kurang lebih begini ""beli produk audio dari merk yang emang spesialis di audio bukan cuma merk yang menang model harga ato gengsi"" bose is one of the specialists thanks reviewnya bang makin nambah ilmu perspikeran murah duniawi ",2
24,konten kaya gini sebenernya bermanfaat buat yang sering bingung pas mau beli speaker bluetooth online biar tau merk dan tipe yg mana yg plg rekomend berdasarkan uji coba lngsung,57
25,"thanks kak david saya jadi punya referensi yg bisa di andalkan untuk memilih speaker bluetooth
soalnya pas lagi nyari speaker bluetooth juga untuk nonton filmfilm netflix di rumah ",57
26,"sebagai user setia eggel saya merasa bangga
dari eggel terra  terra  plus dan eggel buds dengan kualitas bagus diharga yg terjangkau itu sangat worth it
bahkan eggel terra  udah hampir  tahun pemakaian masih normal tanpa kendala",37
27,acome a ku juga udah tahan  tahunan dan emang bagus sih suaranya ngalahin mi pocket speaker  yg pernah gw beli,6
28,"team eggel punga fit dan emang suaranya paling balance basnya gk over treble vokal dan lainnya pas
delay nya juga minim banget ngak kerasa sangat netflixable",4
29,"speaker pertama sy mifa f ukuranya kecil enak banget suaranya bass bulet cma udh drop baterainya
skrang pindah ke harman kardon aura  udh hmpir thun pakai puas banget suaranya jernih bass manjain kuping
detail suara di lagufilm yg ga kdengeran di earphone speaker murah di aura  ini bisa kedengeran jadi berasa nonton di bioskop 
harga emng ga bohong sih wort it banget pakai dikamar buat beberpa tahun kedepan",2
30,"acome a yang di review  ini gue udah pake hampir  tahun kalo buat pemakaian harian kayak gue yg juga wfh dan naro speaker bluetooth di meja buat hiburan musik kala kerja sangat worth it apalagi ada jam digital nya juga yang cukup besar dan terang nyaman dilihat hati aja sama layar jamnya yang material kaca sih speaker ini juga bisa fm radio tapi perlu kabel chargernya yg dicolok sebagai antena pencari sinyal
harganya emang segitu dibawah k tapi super worth it gabohong value for money lah guys",49
31,"tontonan pas lagi makan siang atau istirahat kerja
walaupun jarang beli barang yg diriview tapi suka aja sama pembawaan bang david",36
32,fit  emang bagus banget harga kualitas semuanya sebagai guru yang butuh speaker buat audio listening harga murah ringkas ini salah satu pilihan terbaik,2
33,ternyata kopi kapal api special mix gula aren nikmat sekali ,17
34,kalo untuk peminat bass mmg kebantu sih dan kalo peminat musik pasti ngarah ke balance apa lg kalo suaranya luasbass nya bulet padet bener treble nya ok mid bass nya pun ok,29
35,jbl go  nya udah % saya pastikan kw itu om david jadi gak fair kalau dijadikan acuan toko yang jual jbl go  ditokopedia itu udah terkenal jual barang kw dengan dalih kualitas oem jbl go  tidak mungkin ada yang jual dibawah ,30
36,jam kemudian barang yg dinilai baik oleh mrdavid bs dipastikan naik harga di marketplace,0
37,sering sering bang buat konten kayak gini gue suka ekspresi lu  (sekalian bisa nambah refrensi buat yg mau beli),25
38,"sehat selalu buat keluarga besar gadgetin beserta team dan juga kita semua amin 
semoga murah rejeki dan tidak lelah untuk bikin konten terus ️",0
39,"acome emang bagus"" sih gw langganan klo spiker dan brng elektronik lain harganya murah tpi kualitas nya ok lah",2
40,pas banget lagi cari speaker bluetooth murah buat bertani ,57
41,bang david kayaknya harus nyoba merk lenyes dehh ehehe bisa saingan sama eggel menurut saya,3
42,seru banget nge test speaker nya ikut senang liat koh david senang wkwkwk,36
43,fyi menurut gua merk acome itu lumayan bagus bang soalnya gw beli tws acome t harga rb'an suaranya balance bgt karakter suaranya kya earphone bawaan samsung,6
44,biar semuanya speaker kerehore tetep  speaker jumlahnya  mantap bang david ,2
45,"wkwk gasalah beli gua thn yg lalu pilih acome alarm jam soalnya dulu pengen punya speaker yg sekalian ada fitur jamnya buat pajngan juga sempet bingung banget pertimbanginnya karna banyak merek speaker yg ada jam nya mayann laa dapet harga rb thn yg lalu

sekarang udah rb yak",3
46,kerennya lagi eggel fit  ada fitur tws nya juga jadi kalo punya  speaker bisa disambungin berbarengan biar output suaranya stereo,3
47,sebagai pemakai acome saya ikutan bangga juga,2
48,eggel terra  eggel terra + dan punya eggel fit ini yg sering sy bawa kemana mana harga  an suara baterai material design oke buat nongki sore sama temenkeren eggel!,37
49,wah kebetulan banget nih saya lagi nyari speaker bluetooth jdi dri video ini bisa jdi referensi buat saya thanks banget bang david,14
50,"saya termasuk orang yang sering atau bahkan setiap hari pake speaker bluetooth di ponsel saya menurut saya robot bagus suaranya (bulet dan bass) speaker satu lagi juga bagus yang ada mic nya mereka semua bagus sound nya cuman permasalahan yang saya temui selalu dibagian port cass nya selalu bagian itu yang rusak
dan sekarang saya ganti pake merek kisonli dia ada  speaker ukurannya sedang dan gapakai cass alias langsung dan untuk sekarang masih awet

jadi saran saya belilah yang colokan langsung tanpa cassan kalo mau dibawa kemana"" pake aja power bank lagian juga ga terlalu perlu banyak daya buat idupin speaker bluetooth harga cuman an",3
51,bang bikin konten kaya gini lagi dgn brand yg berbeda soalnya produk yg lu rekom pada sold out di berbagai marketplace ,25
52,sangat mengkhawatirkan speaker² yg dipuji bang david bakal naik harganya setelah video ini ,4
53,kalo untuk simbada sih blutut speaker nya emang kurang nendang tapi kalo simbada yang subwoper boleh di adu hahah,29
54, ntah kenapa saya suka dengar speker bt merk kisonli g suaranya rame banget bass nendang juga teruss desain nya ala klasik gitu dan  speker bt acome a  dan  spker bt eggel dan yg terakhir  speker boose palingg mantappp polllllll,0
55,asli ini mah the best review sekalinya d bandingin lgsung  pcs salute konten gabut yg berfaedah dan ga ngasal ,36
56,sangat berguna untuk pecinta musik low budget thank you,29
57,masih stay di mifa f meskipun bodynya dah rusak karna sering jatoh tpi bassnya nendang karna speakernya make subwoofer yg keren,2
58,kalo untuk yang lewat listrik langsung sama yg portabel  pakai colokan hp apakah ada pengaruh ke kualitas suara?? misal lebih gahar yg pakai colokan listrik langsung karna daya lebih gede,2
59,wah kebetulan banget nih! gw lagi nyari speaker bluetooth yang murah tapi lumayan enak separasi audionya lanjutkan bang david ,14
60,yang versi high endnya bang penasaran seberapa jauh perbedaan harga dan kualitas,2
61,saya punya yg acome a penasaran dengan fitur twsnya jd saya beli  dan lg dulu harganya  rbu nya suaranya jd stereo dan oke klo dijdiin tws smpai sekarang awet pernah dibanting sma anak wkwk,3
62,kak ad speaker bluetooth yg saling connect ga si kak? yang kecil harga jg terjangkau,54
63,sebagai pengguna baru merk acome emang sebagus dan semurah itu barangnya pertama kali nyobain headset nya langsung weeh kapan lagi pake barang murah kualitas wah terus nyoba mousenya juga karena kecewa sama merk sebelah yang udah punya nama tapi bisa dipakenya bentar doang sampe sekarang keterusan pake merk acome,12
64,bt speaker bagus murah banyak tapi durabilitas yg mahal percaya deh jbl flip  sama mifa a suaranya sama sama mantep sama sama beli di  jbl masih utuh suara masih mantap mifa a modul speaker nya karet nya udah sobek & suara sember di lem keliling baru mantep lagi,2
65,kebetulan banget lagi nyari review bluetooth speaker yang ada jamnya ternyata di review juga siap harga naik nih,14
66,speaker simbadda nya harus di letakin di meja bang kalau di angkat gitu emang kurang berasa bass nya karna subwoofer nya ngadap bawah saya punya soalnya simbadda itu cuman yaa untuk tombol nya jelek sih kadang terbenam karna karet tadi,2
67,akhirnyaaa udah dari lama cari bluetooth speaker selain jebeel yg ga nguras kantong rasanya kurang yakin kalo belum di review sama gadgetin ,2
68,"saya punya eggel fit   saya pilih krn banyak riviewer yg rekomendasiin dan ternyata  puas banget 
rencananya mau beli eggel terra mini ",37
69,pas banget dari kemarin bingung mau cari bluetooth speaker ,57
70,telat banget baru nonton speaker acome a udah abis dimanamana  akhirnya beralih ke eggel ,4
71,"menurut saya speaker bluetooth terbaik merk gmc b
suara stereo dan bass nya nendang
fitur oke bangetlah",3
72,kontennya kocak bang david mulai dari speaker belah  sampe ada yang desainnya jiplek wkwkwkwk,0
