,text
0,"Timestamp :
0:00 opening
0:25 disclaimer 
1:12 iklan kopi kapal api
2:08 speaker Oontz
4:25 speaker Vyatta platinum hitz
6:44 speaker Vivan Audio VS12 waterproof
9:47 speaker Mitsuyama
13:29 speaker simbada
17:14 speaker Robot RB100
15:09 speaker ROBOT RB150
19:12 speaker kisonli G1
22:04 speaker Eggle
25:02 speaker MKC kimiso
28:12 speaker Acome A1
29:09 speaker Acome A5
31:55 speaker Acome A10
35:32 Speaker JBL GO 2
37:23 speaker yoayo
39:40 speaker Zealot
42:25 speaker saku mini
44:12 speaker Ecle T5
45:10 speaker Ecle Holder
46:16 waktunya minum kopi
46:26 kesimpulan
48:10 closing"
1,"Team speaker Eggel, sudah punya yang Eggel Fit seri pertama dari tahun 2018, sampai saat ini baterai masih awet, suara bass masih ok, full volume juga ngga pecah sama sekali. As expected perusahaan speaker yang dibuat oleh lulusan ITB."
2,"Wah kebetulan lagi nyari Speaker Bluetooth yang murah tapi lumayan enak separasi audionya. Lanjutkan koh David  
Seru banget nge test speaker nya, ikut senang liat koh David senang... Wkwkwk...
Setelah kepilih yg terbaik, barangnya auto langka + mahal "
3,"Masih QCY Box 2 tetap di hati, gua punya speaker QCY udah 7 tahun, sampai sekarang masih awet suaranya dan build quality, build Quality nya di kuat karena 50% di lapisin karet jadi tahan banting dan air, jadi tetap aman meskipun ke banting di ketinggian 10 meter, dulu gua beli cuman 299.000 sekarang udah ga di jual di pasaran lagi , tapi kalau mau lihat bentukan nya di Google tetap masih ada"
4,This is where local industries start rising. Prouder than proud! #eggel
5,"Appreciate, Bang...bener2 manfaat banget utk mmberi guidance bagi yg mau beli speaker yg skrng sdh buanyak di marketplace. Sekedar saran Bang, akan sangat fair, klw semua speaker itu ditest dg lagu yg sama persis, sampe timecode dr detik keberapa sampe ke berapa jg disamain.  Dan tentunya, sdh dipilih, lagu yg pas utk mewakili evaluasi bass, treble dan vokalnya. Thanks"
6,"Yg bagus di mata dapid:
1./Speaker Oontz ( 2:08 ). 269k
2./Speaker Vivan ( 6:44 ). 275k
3./Speaker Robot ( 17:14 ). 90k
4./Speaker Kisonli ( 19:12 ). 263k
5./Speaker Eagle ( 22:04 ). 159k
6./Speaker Acome ( 29:09 ). 84k
7./Speaker Acome ( 31:55 ). 209k
8./Speaker  Yoayo ( 37:23 ). 206k
Kesimpulan untuk lebih jelasnya ( 46:26 )
*Thanks ^ _ ^"
7,"Saya dah pakai Eggel Fit 3, langsung beli 2 pcs supaya bisa dengar stereo yg lebih mantap & luas pakai fitur TWS nya, bener2 ga mengecewakan suaranya, patut diapresiasi produk lokal tpi kualitasnya melebihi ekspektasi."
8,"3 Tahun pake RB430 dibanting kena air kena panas sampe SW rusak sebelah, tapi masih mantap banget,kebetulan dengerin video ini pake speaker tersebut. Entry level Robot lumayan diperhitungkan sih."
9,Semoga dengan adanya review ini perusahaan elektronik gini makin melek sma kualitas mereka. Karna yg kita tau kita beli tu ya paling gajauh dari nama brandnya
